#Datasources: PIPinZ-0419-195232 [2026-04-19 19:52:32]
#Produced on 2026-04-19 19:53:30 by Analysis Result Viewer 2023.0.0.50349 Zuken GmbH - Germany

ProbeID,Data Source,Date,Note,Net,Pin,Probe Set,
1,PIPinZ-0419-195232,19.04.2026 19:52:32,,Power_GND,IC1_Port1 (8),Impedance,

1_f,1_Z
2.3000e+07,1.8842e+00
2.4000e+07,1.7813e+00
2.5000e+07,1.6856e+00
2.6000e+07,1.5963e+00
2.7000e+07,1.5127e+00
2.8000e+07,1.4341e+00
2.9000e+07,1.3601e+00
3.0000e+07,1.2902e+00
3.1000e+07,1.2240e+00
3.2000e+07,1.1611e+00
3.3000e+07,1.1012e+00
3.4000e+07,1.0441e+00
3.5000e+07,9.8955e-01
3.6000e+07,9.3730e-01
3.7000e+07,8.8717e-01
3.8000e+07,8.3901e-01
3.9000e+07,7.9264e-01
4.0000e+07,7.4795e-01
4.1000e+07,7.0479e-01
4.2000e+07,6.6307e-01
4.3000e+07,6.2268e-01
4.4000e+07,5.8352e-01
4.5000e+07,5.4552e-01
4.6000e+07,5.0860e-01
4.7000e+07,4.7268e-01
4.8000e+07,4.3770e-01
4.9000e+07,4.0361e-01
5.0000e+07,3.7035e-01
5.1000e+07,3.3788e-01
5.2000e+07,3.0614e-01
5.3000e+07,2.7510e-01
5.4000e+07,2.4472e-01
5.5000e+07,2.1498e-01
5.6000e+07,1.8586e-01
5.7000e+07,1.5734e-01
5.8000e+07,1.2945e-01
5.9000e+07,1.0223e-01
6.0000e+07,7.5874e-02
6.1000e+07,5.0969e-02
6.2000e+07,3.0069e-02
6.3000e+07,2.4739e-02
6.4000e+07,4.0780e-02
6.5000e+07,6.3275e-02
6.6000e+07,8.7093e-02
6.7000e+07,1.1119e-01
6.8000e+07,1.3526e-01
6.9000e+07,1.5920e-01
7.0000e+07,1.8297e-01
7.1000e+07,2.0655e-01
7.2000e+07,2.2994e-01
7.3000e+07,2.5314e-01
7.4000e+07,2.7615e-01
7.5000e+07,2.9898e-01
7.6000e+07,3.2164e-01
7.7000e+07,3.4415e-01
7.8000e+07,3.6649e-01
7.9000e+07,3.8870e-01
8.0000e+07,4.1076e-01
8.1000e+07,4.3270e-01
8.2000e+07,4.5452e-01
8.3000e+07,4.7623e-01
8.4000e+07,4.9783e-01
8.5000e+07,5.1934e-01
8.6000e+07,5.4077e-01
8.7000e+07,5.6211e-01
8.8000e+07,5.8338e-01
8.9000e+07,6.0459e-01
9.0000e+07,6.2573e-01
9.1000e+07,6.4683e-01
9.2000e+07,6.6788e-01
9.3000e+07,6.8890e-01
9.4000e+07,7.0988e-01
9.5000e+07,7.3085e-01
9.6000e+07,7.5179e-01
9.7000e+07,7.7273e-01
9.8000e+07,7.9367e-01
9.9000e+07,8.1461e-01
1.0000e+08,8.3556e-01
1.1000e+08,1.0472e+00
1.2000e+08,1.2684e+00
1.3000e+08,1.5096e+00
1.4000e+08,1.7878e+00
1.5000e+08,2.1376e+00
1.6000e+08,2.6440e+00
1.7000e+08,3.6036e+00
1.8000e+08,7.1545e+00
1.9000e+08,3.9882e+00
2.0000e+08,4.4129e-01
2.1000e+08,1.2018e+00
2.2000e+08,1.8879e+00
2.3000e+08,2.6796e+00
2.4000e+08,4.5707e+00
2.5000e+08,1.5506e+00
2.6000e+08,3.1078e+00
2.7000e+08,5.3258e+00
2.8000e+08,6.5213e-01
2.9000e+08,1.1510e+00
3.0000e+08,1.6245e+00
3.1000e+08,1.9612e+00
3.2000e+08,2.2325e+00
3.3000e+08,2.4693e+00
3.4000e+08,2.6870e+00
3.5000e+08,2.8948e+00
3.6000e+08,3.0994e+00
3.7000e+08,3.3072e+00
3.8000e+08,3.5286e+00
3.9000e+08,3.7807e+00
4.0000e+08,3.7973e+00
4.1000e+08,4.0636e+00
4.2000e+08,4.3457e+00
4.3000e+08,4.6569e+00
4.4000e+08,5.0327e+00
4.5000e+08,5.5394e+00
4.6000e+08,6.3527e+00
4.7000e+08,7.8300e+00
4.8000e+08,4.4961e+00
4.9000e+08,4.4680e+00
5.0000e+08,5.6764e+00
5.1000e+08,7.2757e+00
5.2000e+08,8.5322e+00
5.3000e+08,6.9841e+00
5.4000e+08,2.4977e+00
5.5000e+08,3.0107e+00
5.6000e+08,3.7859e+00
5.7000e+08,4.3839e+00
5.8000e+08,4.8867e+00
5.9000e+08,5.3495e+00
6.0000e+08,5.8082e+00
,

